,Time,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,ERCOT,KHOU,KHOU_squared,orig.id
39078,6/17/14 21:00,15142.7737,1832.485623,2248.297168,1108.403411,18130.33561,4331.361141,8765.002302,1409.045177,52967.70413,89.762,8057.216644,39078
41930,10/14/14 17:00,10994.41549,1372.757265,1958.411608,742.8143952,11633.58909,3591.407551,6219.995297,1036.752771,37550.14347,75.362,5679.431044,41930
54950,4/9/16 8:00,8512.335569,1021.685748,1831.323632,613.7872803,8807.492901,2371.486608,4388.459605,855.5264597,28402.0978,61.862,3826.907044,54950
31371,7/31/13 16:00,17924.92341,2250.353811,2229.936967,1357.770528,22901.19692,5026.892837,10540.85082,1710.888225,63942.81351,91.562,8383.599844,31371
16914,12/6/11 22:00,11948.00598,1811.647492,1704.829811,1072.90719,17272.20289,3573.805805,8262.36912,1469.291701,47115.05999,42.962,1845.733444,16914
33997,11/18/13 2:00,8395.278797,957.6334909,1468.740736,567.8608781,7742.089464,2317.690366,4227.646855,778.2547014,26455.19529,73.562,5411.367844,33997
29860,5/29/13 17:00,14265.54566,1698.66351,1969.64472,974.6022862,15427.21074,4253.70473,7886.029421,1318.057123,47793.45819,82.562,6816.483844,29860
41875,10/12/14 10:00,9240.984875,1120.46541,1783.278586,641.1009182,9311.005369,2873.264096,4654.040499,892.6435785,30516.78333,66.362,4403.915044,41875
7527,11/10/10 19:00,10376.28046,1342.735752,1223.74277,807.6514907,11734.93432,3078.738733,6147.853422,990.3888249,35702.32577,71.762,5149.784644,7527
14417,8/24/11 21:00,15534.27088,1782.81532,1857.516111,1324.755957,20699.11679,4565.94687,10761.42732,1612.10725,58137.95651,96.962,9401.629444,14417
41857,10/11/14 16:00,12176.57775,1239.901312,1862.306085,669.0608993,10033.14452,4155.847364,5532.627671,923.0769953,36592.5426,78.062,6093.675844,41857
9510,2/1/11 10:00,9759.016351,1689.940511,1576.309506,1198.69945,18986.70455,2593.529548,6887.116584,1493.114178,44184.43067,69.962,4894.681444,9510
31289,7/28/13 6:00,10070.75762,1083.223434,1479.622783,678.1122862,9570.634534,2852.518407,5096.129608,855.7120144,31686.71069,80.762,6522.500644,31289
46062,4/4/15 23:00,9324.00867,1070.017094,1896.389469,656.0741233,9582.289599,2627.349155,4951.264799,916.0011468,31023.39406,69.962,4894.681444,46062
28739,4/13/13 0:00,8461.5234,1084.31418,1422.52503,633.23657,9134.9488,2495.9076,4678.1049,834.56774,28745.12822,69.962,4894.681444,28739
42991,11/27/14 22:00,9021.99026,1159.227653,1938.581028,741.2922881,10590.16962,2400.072583,5012.118526,1009.110026,31872.56198,62.762,3939.068644,42991
31019,7/17/13 0:00,10888.9226,1372.68633,1539.13598,823.26512,12367.8242,3201.0601,6164.49884,942.21649,37299.60966,80.762,6522.500644,31019
14136,8/13/11 4:00,11005.64978,1544.824179,1373.728142,849.3064433,13332.54954,3104.788742,6444.539859,1039.963835,38695.35052,82.562,6816.483844,14136
15085,9/21/11 17:00,15719.11284,1931.541562,1782.464401,1164.299527,18883.51436,4507.356263,9932.888212,1497.819413,55418.99658,91.562,8383.599844,15085
44741,2/8/15 22:00,9229.116913,1148.368005,1924.522915,706.3330758,10455.78438,2737.16501,5348.686954,984.6555847,32534.63283,73.112,5345.364544,44741
18572,2/14/12 9:00,9166.756966,1359.311066,1474.236585,917.6736827,13293.28925,2751.536519,6108.077308,1125.785338,36196.66672,48.362,2338.883044,18572
11629,4/30/11 17:00,12279.23448,1535.237067,1487.205673,808.679658,14327.79106,3981.654717,8024.369847,1206.458137,43650.63065,84.362,7116.947044,11629
15649,10/15/11 5:00,7401.063144,861.8497992,1166.333628,578.4957032,7619.751881,2136.080942,3804.544767,733.7961349,24301.916,66.362,4403.915044,15649
45008,2/20/15 1:00,8402.968545,1125.864671,1850.283563,758.0197908,10247.81846,2182.052165,4451.761983,894.9307006,29913.69988,56.012,3137.344144,45008
11871,5/10/11 19:00,13566.09352,1889.001204,1705.727707,969.1613654,14792.8529,3987.266281,7890.527629,1190.923176,45991.55378,86.162,7423.890244,11871
27540,2/22/13 1:00,7388.764601,1020.190288,1413.365239,782.7612249,9759.547489,2076.642774,4037.471115,872.2333379,27350.97607,68.162,4646.058244,27540
53585,2/12/16 11:00,10233.7434,1171.233557,2079.416788,772.6933839,11466.00094,2740.396359,5545.579445,1080.399099,35089.46297,53.312,2842.169344,53585
56445,6/10/16 15:00,16884.79442,2029.985194,2518.369871,1146.587351,19395.84623,4854.957068,9005.796395,1434.286785,57270.62332,86.162,7423.890244,56445
26335,1/2/13 20:00,11807.35766,1733.326195,1649.483995,988.2824562,16281.42322,3942.246563,7620.744873,1249.563777,45272.42874,44.762,2003.636644,26335
22013,7/6/12 18:00,16009.98667,2127.037642,1878.604445,1336.182547,21892.41174,4640.878931,10299.24039,1642.293744,59826.6361,91.562,8383.599844,22013
48760,7/26/15 10:00,13104.85864,1581.254839,2146.82856,939.4228056,14673.45575,3584.875891,7055.402123,1208.172183,44294.27079,78.962,6234.997444,48760
8937,1/8/11 13:00,8677.309103,1172.585568,1284.748123,795.9277479,11017.84946,2476.947806,5040.079199,943.4404066,31408.88742,48.362,2338.883044,8937
38495,5/24/14 14:00,13317.07457,1504.364119,1706.516232,831.9124514,14355.29443,3782.339499,6544.168841,960.7106048,43002.38075,80.762,6522.500644,38495
28755,4/13/13 16:00,9443.937315,1137.691072,1428.65739,663.7217644,10291.66079,2919.984904,5139.732555,906.4026064,31931.7884,73.562,5411.367844,28755
34483,12/8/13 10:00,10898.86597,1647.178547,1771.309515,1037.830481,16896.5525,4221.063924,8121.148352,1531.422429,46125.37171,38.462,1479.325444,34483
39919,7/22/14 22:00,15540.30754,1878.024303,2337.069379,1117.148947,18834.23528,4534.89641,9345.038157,1541.909601,55128.62962,87.962,7737.313444,39919
8104,12/4/10 20:00,9692.887264,1186.477329,1271.555307,775.3589863,10760.72241,2739.205946,5350.334606,947.1038229,32723.64568,77.162,5953.974244,8104
53337,2/2/16 3:00,8325.808655,911.737423,1966.694437,606.2719132,7978.51432,2034.45622,4016.017782,903.5489986,26743.04975,69.962,4894.681444,53337
16194,11/6/11 22:00,9705.722799,1119.062688,1300.488414,707.8934235,10312.34765,3012.158157,5666.046255,938.5711646,32762.29055,73.562,5411.367844,16194
33576,10/31/13 13:00,10705.2026,1402.673305,1632.195777,756.9357099,11946.61566,3443.797919,6627.153935,991.832931,37506.40784,72.212,5214.572944,33576
21831,6/29/12 4:00,10242.8161,1322.713434,1472.311747,831.6282286,12686.36662,2962.338037,6072.439317,1031.844345,36622.45784,82.562,6816.483844,21831
53904,2/25/16 18:00,9748.961124,1210.358911,1957.377385,753.8540648,11155.65328,2731.438962,5391.397376,976.0068573,33925.04796,68.387,4676.781769,53904
15610,10/13/11 14:00,12200.36623,1388.201388,1409.255011,786.8080894,12352.03531,3616.252282,6954.612687,1039.301905,39746.83289,78.962,6234.997444,15610
46215,4/11/15 8:00,8449.900592,981.5606208,1820.943964,632.2118116,8858.47201,2404.210907,4425.111643,840.5714082,28412.98296,66.812,4463.843344,46215
44359,1/23/15 22:00,11937.68048,1554.859713,2191.259892,884.4104168,13807.36009,3835.158595,7422.409878,1336.864819,42970.00389,43.862,1923.875044,44359
45982,4/1/15 15:00,11429.92743,1458.867457,2141.460364,798.6694342,12738.9633,3200.52769,6285.755269,1138.378331,39192.54927,74.912,5611.807744,45982
6061,9/10/10 17:00,16753.63138,2059.968828,1610.523263,1275.470034,19806.47544,4433.575263,9454.007654,1557.313919,56950.96578,89.762,8057.216644,6061
